recall_at_1,recall_at_5,recall_at_10,mrr,ndcg_at_5,candidate_generation_success,candidate_miss_rate,expected_rank,similarity_margin,backend,representation,identity_enabled,backend_fingerprint,status,embedding_time_seconds,retrieval_time_seconds,execution_time_seconds,query_count,serialization_cost_seconds,storage_overhead
0.154711,0.366128,0.448649,0.350795,0.301525,0.742964,0.257036,12.407129,-0.483653,nomic,raw,True,2289b0cdb75f194181ad6954e282da28bea598595b8a5d8c5f4b554bdba2a54a,completed,358.794219,36.790388,396.834281,533,358.794219,1.0
0.140552,0.284368,0.345684,0.290754,0.242326,0.666041,0.333959,15.061914,-0.639597,nomic,semantic,True,2289b0cdb75f194181ad6954e282da28bea598595b8a5d8c5f4b554bdba2a54a,completed,300.797602,34.549084,336.521459,533,300.797602,1.0
0.124816,0.268918,0.346925,0.27472,0.226072,0.643527,0.356473,15.534709,-0.679493,nomic,event,True,2289b0cdb75f194181ad6954e282da28bea598595b8a5d8c5f4b554bdba2a54a,completed,367.347244,38.722998,407.333155,533,367.347244,1.0
